user_id,txn_date,amount,cashback_cost
3,2026-03-18,71.19,0.0
3,2026-04-17,46.5,0.0
3,2026-04-22,34.25,0.0
3,2026-04-25,19.81,0.0
6,2026-04-05,70.76,2.1228000000000002
6,2026-04-16,36.25,1.0875
6,2026-05-02,29.84,0.8952
6,2026-05-13,45.23,1.3568999999999998
8,2026-04-01,17.37,0.0
10,2026-04-23,39.47,1.1841
10,2026-05-01,18.76,0.5628000000000001
10,2026-05-16,10.42,0.3126
17,2026-02-01,30.46,0.0
17,2026-02-05,50.79,0.0
17,2026-02-13,31.25,0.0
17,2026-02-16,53.47,0.0
17,2026-02-20,30.19,0.0
17,2026-02-22,26.61,0.0
17,2026-02-24,46.33,0.0
17,2026-03-18,62.85,0.0
17,2026-03-18,66.22,0.0
18,2026-03-19,53.12,0.0
19,2026-01-17,35.22,0.0
22,2026-02-16,54.77,1.6431
22,2026-02-24,46.28,1.3884
22,2026-03-13,44.93,1.3478999999999999
22,2026-03-15,31.34,0.9401999999999999
25,2026-03-07,54.2,1.6260000000000001
25,2026-04-22,57.32,1.7196
25,2026-04-24,54.16,1.6247999999999998
26,2026-02-11,23.44,0.0
28,2026-03-07,29.99,0.0
30,2026-02-11,24.83,0.0
30,2026-03-25,5.02,0.0
40,2026-03-13,14.42,0.4326
40,2026-03-19,62.0,1.8599999999999999
40,2026-04-13,27.09,0.8127
40,2026-04-18,23.35,0.7005
40,2026-04-22,32.29,0.9686999999999999
40,2026-04-22,52.28,1.5684
40,2026-04-27,39.68,1.1904
40,2026-04-29,35.7,1.071
44,2026-02-05,56.64,1.6992
44,2026-02-12,16.87,0.5061
44,2026-03-06,54.07,1.6220999999999999
44,2026-03-06,32.16,0.9647999999999999
44,2026-03-18,61.19,1.8356999999999999
44,2026-03-21,36.22,1.0866
45,2026-04-01,15.96,0.0
45,2026-04-13,29.57,0.0
45,2026-04-20,25.08,0.0
45,2026-05-08,18.61,0.0
49,2026-04-07,77.62,0.0
49,2026-04-12,95.66,0.0
49,2026-05-02,67.83,0.0
49,2026-05-02,65.13,0.0
49,2026-05-04,71.86,0.0
49,2026-05-14,55.47,0.0
49,2026-05-17,46.87,0.0
49,2026-05-25,42.65,0.0
49,2026-05-25,48.62,0.0
50,2026-03-02,45.18,1.3554
50,2026-03-16,22.44,0.6732
52,2026-01-12,37.0,1.1099999999999999
52,2026-02-14,36.93,1.1078999999999999
53,2026-05-25,37.61,0.0
54,2026-03-26,51.24,1.5372
54,2026-04-19,58.91,1.7672999999999999
57,2026-04-27,3.83,0.0
59,2026-04-03,35.73,0.0
62,2026-03-08,33.64,0.0
65,2026-04-04,33.42,0.0
70,2026-02-26,57.72,0.0
70,2026-03-14,33.08,0.0
71,2026-01-14,37.61,0.0
71,2026-02-11,16.79,0.0
76,2026-02-17,34.37,1.0311
76,2026-03-08,43.66,1.3097999999999999
76,2026-03-12,18.14,0.5442
76,2026-04-01,29.27,0.8781
78,2026-03-19,24.57,0.7371
78,2026-03-24,31.52,0.9456
78,2026-03-30,47.79,1.4337
78,2026-03-31,42.73,1.2818999999999998
78,2026-04-02,1.0,0.03
78,2026-04-15,57.58,1.7273999999999998
78,2026-04-16,34.12,1.0235999999999998
78,2026-04-20,35.12,1.0535999999999999
78,2026-04-24,69.76,2.0928
78,2026-04-29,61.59,1.8477000000000001
78,2026-05-04,64.43,1.9329
83,2026-03-19,73.97,2.2191
83,2026-03-19,57.84,1.7352
83,2026-03-30,42.98,1.2893999999999999
83,2026-04-09,56.94,1.7082
83,2026-05-09,45.58,1.3674
84,2026-04-10,95.41,2.8623
84,2026-04-15,63.27,1.8981000000000001
86,2026-03-30,75.06,0.0
86,2026-03-30,43.46,0.0
86,2026-04-26,39.15,0.0
87,2026-02-09,43.61,1.3083
87,2026-02-10,48.52,1.4556
87,2026-02-16,63.61,1.9082999999999999
87,2026-03-02,48.35,1.4505
87,2026-03-04,30.17,0.9051
89,2026-04-02,34.03,1.0209
89,2026-04-04,43.48,1.3043999999999998
89,2026-04-15,17.18,0.5154
89,2026-04-18,36.0,1.08
89,2026-04-19,50.04,1.5011999999999999
89,2026-04-23,42.84,1.2852000000000001
89,2026-04-23,21.67,0.6501
89,2026-05-12,8.4,0.252
89,2026-05-17,10.27,0.3081
